Chemical 1,Chemical 2,Similarity
DB00275,DB00208,1
DB01143,DB03994,1
DB01262,DB00173,1
DB01154,DB01117,1
DB01373,DB03568,1
DB01119,DB00571,1
DB00118,DB00440,1
DB01092,DB01752,1
DB04690,DB01204,1
DB00627,DB01579,1
DB02587,DB00169,1
DB01233,DB00598,1
DB01373,DB00917,1
DB01203,DB01037,1
DB00382,DB00563,1
DB00475,DB00932,1
DB00471,DB04224,1
DB00342,DB00116,1
DB00295,DB01065,1
DB00388,DB00602,1
DB02659,DB00457,1
DB00897,DB03796,1
DB02852,DB03568,1
DB00323,DB00143,1
DB00950,DB00091,1
DB00297,DB00625,1
DB00495,DB00857,1
DB00428,DB00964,1
DB01262,DB00515,1
DB01819,DB02925,1
DB02712,DB01060,1
DB00605,DB00687,1
DB04703,DB01202,1
DB03435,DB01229,1
DB00091,DB00588,1
DB04216,DB00633,1
DB04258,DB00440,1
DB00307,DB00379,1
DB01241,DB00668,1
DB01351,DB00334,1
DB00168,DB00285,1
DB00281,DB03754,1
DB00883,DB01095,1
DB02691,DB00050,1
DB00776,DB00884,1
DB00279,DB00169,1
DB00890,DB04557,1
DB00492,DB00988,1
DB04829,DB00381,1
DB04540,DB00921,1
DB00364,DB00197,1
DB00630,DB03703,1
DB00640,DB00917,1
DB00317,DB00322,1
DB00605,DB00492,1
DB02266,DB00751,1
DB00266,DB01097,1
DB00514,DB00573,1
DB00126,DB01202,1
DB00679,DB01212,1
DB01220,DB00573,1
DB00812,DB00378,1
DB04743,DB00860,1
DB01166,DB00884,1
DB01101,DB00305,1
DB00613,DB00780,1
DB00563,DB02315,1
DB00853,DB00421,1
DB00982,DB00252,1
DB01181,DB01262,1
DB02052,DB00927,1
DB00727,DB01708,1
DB00636,DB00550,1
DB01136,DB00396,1
DB00457,DB00218,1
DB00162,DB00363,1
DB00853,DB00773,1
DB00608,DB00526,1
DB03206,DB01199,1
DB01098,DB04077,1
DB00168,DB02325,1
DB00855,DB00898,1
DB01388,DB00947,1
DB01013,DB01016,1
DB00914,DB02679,1
DB00564,DB01357,1
DB03568,DB00842,1
DB01166,DB00995,1
DB00574,DB03566,1
DB00834,DB00669,1
DB00341,DB00501,1
DB00254,DB00938,1
DB00118,DB01199,1
DB00836,DB00605,1
DB00104,DB01698,1
DB02052,DB00322,1
DB00925,DB00342,1
DB00157,DB01267,1
DB01919,DB00950,1
DB01024,DB01065,1
DB00275,DB00784,1
DB00489,DB01348,1
DB01576,DB01420,1
DB00831,DB00642,1
DB00709,DB00338,1
DB01181,DB00313,1
DB00675,DB03128,1
DB03345,DB01454,1
DB00847,DB00988,1
DB00966,DB01268,1
DB02587,DB03758,1
DB00220,DB00987,1
DB00122,DB00818,1
DB00489,DB01242,1
DB01750,DB01378,1
DB00435,DB00290,1
DB00682,DB01058,1
DB01183,DB02261,1
DB01199,DB00563,1
DB01165,DB01212,1
DB00136,DB01094,1
DB00475,DB01053,1
DB01429,DB00472,1
DB03994,DB00014,1
DB00166,DB01128,1
DB00523,DB00910,1
DB00762,DB04743,1
DB00227,DB00421,1
DB00740,DB00252,1
DB04315,DB00515,1
DB01080,DB04786,1
DB00989,DB00411,1
DB00255,DB00316,1
DB00594,DB00091,1
DB01199,DB01119,1
DB00477,DB02712,1
DB00550,DB00141,1
DB01131,DB01399,1
DB00300,DB00255,1
DB01068,DB01580,1
DB00179,DB00798,1
DB02745,DB01220,1
DB00695,DB00563,1
DB01073,DB01338,1
DB01435,DB00730,1
DB00863,DB00162,1
DB00417,DB03703,1
DB00468,DB00802,1
DB00626,DB01006,1
DB00162,DB01708,1
DB00877,DB00572,1
DB01055,DB00995,1
DB00881,DB00173,1
DB01919,DB00508,1
DB00530,DB01083,1
DB00328,DB00584,1
DB02855,DB01159,1
DB01154,DB01240,1
DB01174,DB01403,1
DB03193,DB00313,1
DB00244,DB00379,1
DB00783,DB01645,1
DB00682,DB03760,1
DB01206,DB04005,1
DB02852,DB00860,1
DB01013,DB01055,1
DB00367,DB00333,1
DB00583,DB00759,1
DB00957,DB00623,1
DB02073,DB00698,1
DB00588,DB00440,1
DB04173,DB01174,1
DB00783,DB01239,1
DB00157,DB00640,1
DB00482,DB01011,1
DB00696,DB04173,1
DB00542,DB01043,1
DB00305,DB04551,1
DB00457,DB00808,1
DB01283,DB03866,1
DB02740,DB00780,1
DB01220,DB00495,1
DB01103,DB03568,1
DB00608,DB02052,1
DB01120,DB00530,1
DB04513,DB00936,1
DB00975,DB01033,1
DB00230,DB03994,1
DB00997,DB00281,1
DB00656,DB00916,1
DB00312,DB00177,1
DB00179,DB00796,1
DB00796,DB02656,1
DB01166,DB01356,1
DB00388,DB03568,1
DB00722,DB00541,1
DB00317,DB00208,1
DB04557,DB01055,1
DB00206,DB00898,1
DB00379,DB00772,1
DB02998,DB00922,1
DB01576,DB00378,1
DB01558,DB01030,1
DB00514,DB00843,1
DB01166,DB01708,1
DB01076,DB03193,1
DB00515,DB00950,1
DB00762,DB01076,1
DB00602,DB00091,1
DB00203,DB01242,1
DB04166,DB01440,1
DB00630,DB00363,1
DB01068,DB00482,1
DB00731,DB02656,1
DB00168,DB00152,1
DB01213,DB02300,1
DB00594,DB02855,1
DB00590,DB00571,1
DB00323,DB01166,1
DB01242,DB01039,1
DB04741,DB00313,1
DB04540,DB00388,1
DB03760,DB01950,1
DB02546,DB04348,1
DB00379,DB02679,1
DB00481,DB01033,1
DB00170,DB01115,1
DB01202,DB00178,1
DB01229,DB00773,1
DB00624,DB04166,1
DB00985,DB00780,1
DB02325,DB01590,1
DB01073,DB01241,1
DB02347,DB00989,1
DB00182,DB00920,1
DB00778,DB01222,1
DB00762,DB00245,1
DB00432,DB01393,1
DB02300,DB04014,1
DB00201,DB00606,1
DB04743,DB00999,1
DB00630,DB01017,1
DB00169,DB00917,1
DB00400,DB00295,1
DB00530,DB00176,1
DB01005,DB00356,1
DB00997,DB01110,1
DB01182,DB00947,1
DB00290,DB00694,1
DB00427,DB00809,1
DB00642,DB01013,1
DB00275,DB00295,1
DB00427,DB04824,1
DB00970,DB00783,1
DB00515,DB04557,1
DB00806,DB00115,1
DB01190,DB00798,1
DB00277,DB00559,1
DB00364,DB00444,1
DB00261,DB00995,1
DB00544,DB01129,1
DB00305,DB00593,1
DB01132,DB02052,1
DB00170,DB01933,1
DB02315,DB00657,1
DB00162,DB00588,1
DB00342,DB01058,1
DB01069,DB00916,1
DB01023,DB00829,1
DB00764,DB04381,1
DB01234,DB01095,1
DB00448,DB01880,1
DB00655,DB00091,1
DB00947,DB04741,1
DB00977,DB01097,1
DB01188,DB00909,1
DB00982,DB00770,1
DB00321,DB00848,1
DB00445,DB01005,1
DB00779,DB01030,1
DB01200,DB00331,1
DB04557,DB00718,1
DB01104,DB04690,1
DB00741,DB01124,1
DB00855,DB00431,1
DB02375,DB01373,1
DB00378,DB01454,1
DB00990,DB00594,1
DB00545,DB00831,1
DB00175,DB01034,1
DB00564,DB00441,1
DB00490,DB03902,1
DB01149,DB00978,1
DB00871,DB00530,1
DB01137,DB00821,1
DB00966,DB00238,1
DB00499,DB00814,1
DB00687,DB00848,1
DB01093,DB00570,1
DB00170,DB00201,1
DB01202,DB01221,1
DB02424,DB00227,1
DB00512,DB00974,1
DB01014,DB04829,1
DB00939,DB02656,1
DB01262,DB00162,1
DB00465,DB03880,1
DB00675,DB01212,1
DB03904,DB00594,1
DB00523,DB01483,1
DB00747,DB01169,1
DB00342,DB03760,1
DB00179,DB00143,1
DB01050,DB00526,1
DB00322,DB02546,1
DB01098,DB00448,1
DB00531,DB00367,1
DB00222,DB01597,1
DB00968,DB00716,1
DB00400,DB01085,1
DB00421,DB00640,1
DB00822,DB00860,1
DB00104,DB00364,1
DB01115,DB02709,1
DB01128,DB00435,1
DB04551,DB01927,1
DB00624,DB00712,1
DB04005,DB00220,1
DB00959,DB00443,1
DB00312,DB01212,1
DB03575,DB00381,1
DB00171,DB00515,1
DB00928,DB00602,1
DB01370,DB00228,1
DB00608,DB00230,1
DB00136,DB00523,1
DB00445,DB00682,1
DB00203,DB00503,1
DB00313,DB01159,1
DB00515,DB00550,1
DB00796,DB01055,1
DB00399,DB00970,1
DB00179,DB00669,1
DB00336,DB00275,1
DB00860,DB00544,1
DB01083,DB00744,1
DB01033,DB01009,1
DB00207,DB01181,1
DB01110,DB04365,1
DB00851,DB00694,1
DB02169,DB00920,1
DB04572,DB00279,1
DB01933,DB00157,1
DB00173,DB00623,1
DB02901,DB04573,1
DB00694,DB00584,1
DB04573,DB00974,1
DB01852,DB02073,1
DB00588,DB02527,1
DB00273,DB01222,1
DB01436,DB00394,1
DB01393,DB00910,1
DB00550,DB01149,1
DB01011,DB00282,1
DB04557,DB00661,1
DB00281,DB01167,1
DB00435,DB00284,1
DB00122,DB00768,1
DB00883,DB00207,1
DB01131,DB02656,1
DB01399,DB00091,1
DB00770,DB00842,1
DB00705,DB03535,1
DB00531,DB00898,1
DB00624,DB03128,1
DB01181,DB00846,1
DB01068,DB00168,1
DB00816,DB01034,1
DB02659,DB01087,1
DB02285,DB00435,1
DB00170,DB00975,1
DB00982,DB01236,1
DB00997,DB00730,1
DB00514,DB00995,1
DB04166,DB01454,1
DB00764,DB04751,1
DB04348,DB00761,1
DB00588,DB04557,1
DB00382,DB01698,1
DB01364,DB01108,1
DB01097,DB00794,1
DB01088,DB02701,1
DB01283,DB00813,1
DB04014,DB00457,1
DB01393,DB00227,1
DB01088,DB01183,1
DB01016,DB00119,1
DB03568,DB00515,1
DB04690,DB00860,1
DB00564,DB01239,1
DB01054,DB00334,1
DB00724,DB00588,1
DB02533,DB01119,1
DB00987,DB04417,1
DB00995,DB00515,1
DB00709,DB01356,1
DB00786,DB00413,1
DB04551,DB01060,1
DB00169,DB00831,1
DB00468,DB02998,1
DB01677,DB00636,1
DB01452,DB01098,1
DB00157,DB00295,1
DB00860,DB00208,1
DB02052,DB00570,1
DB00783,DB01597,1
DB00637,DB00014,1
DB00014,DB00399,1
DB03864,DB01166,1
DB00367,DB00995,1
DB00871,DB00536,1
DB04551,DB02379,1
DB00883,DB04751,1
DB01595,DB00864,1
DB01179,DB01095,1
DB00907,DB00599,1
DB00523,DB02709,1
DB01183,DB00338,1
DB00730,DB00951,1
DB00908,DB01950,1
DB00300,DB00704,1
DB00134,DB00833,1
DB01388,DB00624,1
DB02073,DB00457,1
DB00451,DB00396,1
DB01412,DB00295,1
DB01166,DB00489,1
DB00477,DB00363,1
DB00975,DB00575,1
DB00143,DB01103,1
DB00176,DB00373,1
DB04216,DB02757,1
DB01577,DB00457,1
DB04817,DB00866,1
DB00570,DB02740,1
DB01933,DB00502,1
DB01093,DB00661,1
DB02901,DB00331,1
DB02527,DB00623,1
DB00378,DB00300,1
DB00413,DB00014,1
DB03568,DB00338,1
DB00307,DB00695,1
DB00871,DB00399,1
DB00458,DB00641,1
DB00554,DB00627,1
DB04465,DB01043,1
DB00898,DB00864,1
DB00897,DB00531,1
DB04741,DB00762,1
DB00378,DB00263,1
DB00978,DB01101,1
DB01174,DB00396,1
DB01435,DB00357,1
DB00836,DB00262,1
DB01024,DB00863,1
DB00465,DB00260,1
DB00882,DB01394,1
DB01103,DB00181,1
DB02095,DB01094,1
DB01099,DB02679,1
DB00975,DB01248,1
DB04224,DB01275,1
DB00749,DB00403,1
DB00421,DB03760,1
DB01544,DB00136,1
DB00590,DB01186,1
DB00588,DB04348,1
DB00523,DB01039,1
DB00523,DB00636,1
DB01022,DB01048,1
DB00871,DB00368,1
DB00091,DB03203,1
DB04258,DB01454,1
DB00997,DB00798,1
DB00640,DB01039,1
DB00796,DB01645,1
DB00982,DB04743,1
DB02056,DB00313,1
DB01174,DB03128,1
DB00495,DB02860,1
DB00973,DB01149,1
DB00818,DB00282,1
DB00550,DB03758,1
DB00412,DB02587,1
DB03796,DB00657,1
DB04258,DB03796,1
DB00503,DB01006,1
DB02546,DB00224,1
DB04751,DB00136,1
DB04224,DB01119,1
DB01262,DB04014,1
DB00451,DB00712,1
DB00584,DB01055,1
DB01094,DB03568,1
DB00227,DB04690,1
DB00712,DB04166,1
DB02207,DB00866,1
DB00583,DB00922,1
DB00291,DB01065,1
DB01064,DB00571,1
DB00368,DB00848,1
DB01032,DB00871,1
DB00744,DB01136,1
DB01035,DB04557,1
DB01436,DB01154,1
DB00728,DB01199,1
DB00970,DB00134,1
DB03568,DB00411,1
DB00166,DB01296,1
DB00563,DB01942,1
DB00465,DB00989,1
DB00661,DB00244,1
DB01370,DB00206,1
DB00997,DB01345,1
DB00836,DB00586,1
DB01174,DB01367,1
DB00501,DB00939,1
DB02709,DB01407,1
DB02169,DB02998,1
DB00728,DB00170,1
DB00619,DB02266,1
DB00798,DB01275,1
DB00700,DB00656,1
DB00642,DB00783,1
DB04166,DB00204,1
DB00318,DB01212,1
DB00254,DB00368,1
DB00586,DB00481,1
DB02325,DB00437,1
DB00445,DB00773,1
DB04315,DB00171,1
DB01050,DB01174,1
DB00262,DB00709,1
DB00746,DB00715,1
DB01429,DB00883,1
DB00471,DB01211,1
DB01064,DB00841,1
DB00570,DB00295,1
DB00548,DB04216,1
DB00342,DB01030,1
DB00790,DB00884,1
DB00448,DB00966,1
DB00343,DB01189,1
DB00050,DB01216,1
DB00630,DB00988,1
DB00991,DB04557,1
DB00727,DB00571,1
DB00898,DB00281,1
DB00218,DB00891,1
DB00590,DB00446,1
DB00367,DB02315,1
DB00470,DB01149,1
DB01645,DB00997,1
DB01073,DB00682,1
DB00252,DB00512,1
DB00573,DB00605,1
DB00661,DB00656,1
DB00244,DB01119,1
DB00158,DB00696,1
DB00813,DB00378,1
DB00320,DB00977,1
DB01132,DB00293,1
DB01029,DB02691,1
DB00184,DB01068,1
DB00588,DB01240,1
DB00158,DB01115,1
DB00501,DB04216,1
DB00412,DB00457,1
DB00749,DB00783,1
DB00997,DB00947,1
DB01103,DB00136,1
DB00991,DB00898,1
DB00134,DB00696,1
DB01919,DB01696,1
DB01016,DB02266,1
DB00548,DB00778,1
DB00277,DB00608,1
DB00502,DB00715,1
DB00795,DB01204,1
DB00910,DB01050,1
DB00655,DB01222,1
DB00242,DB00227,1
DB03568,DB02056,1
DB01229,DB00602,1
DB00157,DB00749,1
DB00305,DB00177,1
DB01083,DB00255,1
DB00737,DB00458,1
DB01034,DB04173,1
DB00897,DB00829,1
DB03568,DB00758,1
DB00584,DB00255,1
DB00694,DB00297,1
DB01073,DB00778,1
DB00446,DB01586,1
DB00240,DB00118,1
DB00181,DB00608,1
DB03796,DB00230,1
DB00168,DB00966,1
DB00382,DB00761,1
DB00917,DB01240,1
DB04485,DB02261,1
DB03796,DB00494,1
DB00564,DB00122,1
DB01698,DB01222,1
DB01184,DB00388,1
DB03128,DB01424,1
DB00695,DB00834,1
DB00822,DB00436,1
DB01076,DB00958,1
DB00533,DB00331,1
DB01211,DB00991,1
DB04224,DB00594,1
DB00811,DB00549,1
DB00179,DB01120,1
DB00811,DB01064,1
DB01050,DB00636,1
DB00590,DB01645,1
DB01132,DB00669,1
DB01174,DB00917,1
DB02375,DB00264,1
DB00898,DB02659,1
DB00806,DB00338,1
DB00158,DB00280,1
DB01356,DB01065,1
DB01085,DB04743,1
DB00542,DB01011,1
DB01072,DB01094,1
DB00914,DB00421,1
DB00104,DB02300,1
DB00177,DB00700,1
DB00158,DB01933,1
DB02424,DB01174,1
DB01058,DB00361,1
DB02379,DB01018,1
DB00378,DB00863,1
DB04365,DB01094,1
DB04827,DB04840,1
DB00458,DB01275,1
DB00999,DB00179,1
DB03760,DB00158,1
DB00833,DB01013,1
DB00796,DB00640,1
DB00722,DB01213,1
DB03575,DB00848,1
DB00778,DB04216,1
DB00414,DB00412,1
DB00590,DB00718,1
DB00559,DB00602,1
DB02533,DB00841,1
DB01095,DB03435,1
DB00378,DB01919,1
DB00863,DB01268,1
DB00603,DB00448,1
DB00612,DB00379,1
DB00378,DB00917,1
DB00342,DB01103,1
DB00710,DB00136,1
DB00841,DB01406,1
DB04173,DB00427,1
DB00183,DB01099,1
DB00778,DB04557,1
DB00503,DB01136,1
DB01590,DB00437,1
DB01406,DB01240,1
DB01128,DB00266,1
DB00864,DB00313,1
DB00227,DB00523,1
DB01204,DB00784,1
DB00277,DB02998,1
DB02533,DB00244,1
DB00694,DB00861,1
DB00744,DB02701,1
DB00675,DB00470,1
DB01429,DB01268,1
DB01221,DB00118,1
DB01119,DB01183,1
DB01108,DB00322,1
DB00169,DB00636,1
DB00603,DB00325,1
DB00399,DB04817,1
DB00643,DB00368,1
DB00704,DB00514,1
DB04540,DB04703,1
DB00605,DB00398,1
DB04224,DB01073,1
DB01182,DB00624,1
DB03128,DB00412,1
DB00755,DB04077,1
DB00400,DB00312,1
DB00746,DB00266,1
DB00841,DB02967,1
DB00268,DB00338,1
DB01119,DB00704,1
DB00917,DB00612,1
DB01017,DB01174,1
DB01367,DB00140,1
DB00325,DB00482,1
DB01075,DB00543,1
DB00909,DB00977,1
DB02010,DB00182,1
DB03796,DB04173,1
DB00432,DB04137,1
DB01169,DB01159,1
DB01169,DB00203,1
DB01173,DB00325,1
DB00975,DB00626,1
DB00715,DB00179,1
DB02587,DB02266,1
DB00544,DB00685,1
DB00810,DB00531,1
DB00966,DB00881,1
DB01203,DB01199,1
DB00281,DB04077,1
DB04572,DB00790,1
DB00834,DB00515,1
DB00898,DB04557,1
DB00545,DB00279,1
DB00127,DB01169,1
DB01454,DB01378,1
DB01242,DB00829,1
DB01436,DB00284,1
DB03994,DB00277,1
DB00290,DB00457,1
DB00571,DB00553,1
DB00574,DB01345,1
DB01131,DB00091,1
DB04690,DB01039,1
DB01193,DB00867,1
DB00985,DB02659,1
DB04551,DB00320,1
DB00918,DB00342,1
DB00755,DB00501,1
DB00599,DB00526,1
DB01088,DB01037,1
DB01181,DB00291,1
DB01099,DB00331,1
DB00833,DB00909,1
DB00338,DB00813,1
DB00275,DB01101,1
DB01095,DB01094,1
DB00338,DB01149,1
DB00242,DB00975,1
DB01435,DB00170,1
DB00549,DB02010,1
DB01016,DB00297,1
DB00570,DB01045,1
DB02424,DB02056,1
DB00783,DB00134,1
DB01137,DB04258,1
DB00540,DB01017,1
DB04743,DB02021,1
DB00134,DB00907,1
DB04166,DB00476,1
DB00934,DB00514,1
DB00564,DB01033,1
DB00864,DB01036,1
DB00883,DB01166,1
DB04173,DB00677,1
DB00396,DB00290,1
DB03568,DB01165,1
DB00867,DB00637,1
DB00741,DB00898,1
DB04751,DB01242,1
DB00179,DB00778,1
DB00633,DB03760,1
DB01011,DB02527,1
DB00897,DB00907,1
DB01083,DB00307,1
DB01752,DB01167,1
DB00795,DB01296,1
DB00834,DB00411,1
DB00523,DB00171,1
DB01267,DB01174,1
DB01104,DB00136,1
DB01055,DB04707,1
DB01101,DB00988,1
DB02210,DB01205,1
DB01183,DB03535,1
DB00170,DB02533,1
DB00755,DB00834,1
DB00818,DB01296,1
DB00091,DB00457,1
DB00606,DB00368,1
DB02300,DB02249,1
DB00184,DB00264,1
DB00594,DB00530,1
DB00378,DB00910,1
DB00661,DB00763,1
DB01011,DB00526,1
DB03128,DB00630,1
DB01950,DB00718,1
DB00495,DB00730,1
DB01296,DB00527,1
DB00624,DB01083,1
DB00997,DB00810,1
DB04137,DB00446,1
DB00833,DB00399,1
DB03575,DB00687,1
DB00202,DB01036,1
DB00122,DB00428,1
DB00390,DB00708,1
DB00977,DB00594,1
DB00178,DB04743,1
DB00443,DB00626,1
DB00720,DB04725,1
DB04173,DB01933,1
DB00553,DB02998,1
DB02325,DB00668,1
DB00531,DB00468,1
DB00470,DB02901,1
DB01425,DB00175,1
DB00550,DB00182,1
DB00331,DB01933,1
DB04573,DB01698,1
DB01024,DB01677,1
DB00501,DB00338,1
DB00244,DB01085,1
DB01030,DB01216,1
DB00415,DB00966,1
DB00441,DB01340,1
DB01136,DB00669,1
DB00169,DB00356,1
DB00602,DB01050,1
DB00441,DB04216,1
DB01183,DB00127,1
DB00136,DB00884,1
DB00831,DB00625,1
DB00833,DB00368,1
DB00530,DB00262,1
DB02375,DB00363,1
DB01001,DB00338,1
DB01348,DB00136,1
DB00361,DB00482,1
DB00277,DB04540,1
DB00421,DB04816,1
DB00559,DB00848,1
DB00783,DB00579,1
DB01097,DB00368,1
DB00179,DB01933,1
DB04557,DB00396,1
DB04465,DB02169,1
DB00564,DB00466,1
DB01418,DB01954,1
DB01378,DB00178,1
DB00710,DB00400,1
DB00675,DB00224,1
DB00540,DB01006,1
DB01011,DB00179,1
DB00988,DB01214,1
DB01268,DB00388,1
DB01917,DB00709,1
DB02325,DB00675,1
DB00643,DB00141,1
DB00243,DB00857,1
DB00518,DB00313,1
DB02116,DB04005,1
DB01750,DB00443,1
DB00533,DB00907,1
DB04173,DB01378,1
DB01229,DB00331,1
DB00526,DB03760,1
DB00255,DB02426,1
DB00305,DB01340,1
DB01014,DB00381,1
DB00240,DB00399,1
DB00755,DB00134,1
DB01259,DB00679,1
DB01117,DB01240,1
DB00882,DB00584,1
DB00519,DB00588,1
DB00378,DB04557,1
DB00178,DB00640,1
DB00563,DB01393,1
DB00428,DB00997,1
DB00166,DB00589,1
DB02712,DB00368,1
DB00907,DB03206,1
DB00927,DB04224,1
DB00325,DB00853,1
DB00291,DB00846,1
DB00643,DB00254,1
DB00570,DB01103,1
DB02266,DB00338,1
DB00871,DB00224,1
DB01179,DB00502,1
DB00999,DB01009,1
DB00947,DB01119,1
DB00999,DB00352,1
DB01011,DB00220,1
DB00571,DB01008,1
DB01452,DB00325,1
DB01698,DB01234,1
DB00853,DB00136,1
DB00907,DB00744,1
DB00279,DB01115,1
DB00364,DB01092,1
DB04137,DB02998,1
DB00908,DB00158,1
DB00316,DB01093,1
DB00127,DB00866,1
DB01436,DB00493,1
DB00313,DB01327,1
DB00435,DB00143,1
DB01001,DB00222,1
DB02261,DB00727,1
DB00170,DB01436,1
DB00712,DB00751,1
DB00348,DB00860,1
DB01083,DB00695,1
DB01149,DB01076,1
DB00794,DB00468,1
DB00494,DB04841,1
DB01236,DB00843,1
DB00178,DB01098,1
DB00400,DB01065,1
DB00290,DB04827,1
DB01234,DB03566,1
DB02533,DB00446,1
DB01454,DB01236,1
DB04224,DB02285,1
DB01212,DB00816,1
DB00910,DB01483,1
DB01113,DB03754,1
DB00642,DB01750,1
DB01076,DB00864,1
DB00307,DB00631,1
DB01232,DB00798,1
DB00136,DB01017,1
DB01166,DB00307,1
DB00307,DB00334,1
DB00540,DB01645,1
DB00397,DB01440,1
DB01016,DB00435,1
DB00642,DB00220,1
DB01093,DB01452,1
DB00542,DB00526,1
DB02852,DB00342,1
DB01156,DB00907,1
DB00448,DB00238,1
DB00574,DB00997,1
DB00322,DB00526,1
DB01950,DB02375,1
DB00834,DB01267,1
DB01087,DB00224,1
DB00148,DB04315,1
DB01184,DB00657,1
DB01242,DB01104,1
DB00798,DB01043,1
DB00515,DB00975,1
DB01183,DB01436,1
DB00139,DB01101,1
DB00335,DB00136,1
DB00583,DB00312,1
DB00982,DB00390,1
DB00554,DB00995,1
DB00755,DB00492,1
DB00997,DB00531,1
DB00238,DB00773,1
DB00761,DB00412,1
DB00338,DB00502,1
DB00848,DB00635,1
DB01098,DB00916,1
DB00909,DB04173,1
DB00396,DB00412,1
DB00367,DB00746,1
DB00907,DB00445,1
DB01099,DB00333,1
DB00244,DB01069,1
DB00104,DB04816,1
DB00448,DB01136,1
DB00412,DB01590,1
DB00530,DB00586,1
DB01132,DB00541,1
DB02527,DB00635,1
DB01393,DB00279,1
DB01014,DB02207,1
DB01174,DB00928,1
DB01009,DB00794,1
DB00335,DB01104,1
DB02325,DB02424,1
DB00675,DB00564,1
DB00788,DB00549,1
DB00898,DB00176,1
DB02587,DB00435,1
DB01045,DB01159,1
DB01454,DB00400,1
DB01628,DB04381,1
DB00755,DB03052,1
DB00316,DB01037,1
DB01698,DB00910,1
DB02745,DB00909,1
DB00091,DB00761,1
DB01132,DB00822,1
DB00833,DB00606,1
DB02021,DB00861,1
DB00263,DB01454,1
DB01154,DB01708,1
DB00530,DB02175,1
DB01097,DB00606,1
DB00290,DB00151,1
DB00741,DB00798,1
DB01181,DB00531,1
DB00158,DB03345,1
DB00811,DB00796,1
DB01120,DB00917,1
DB04817,DB00322,1
DB02424,DB01082,1
DB00177,DB04551,1
DB01039,DB04743,1
DB01819,DB00665,1
DB00157,DB00704,1
DB00773,DB00997,1
DB01041,DB00515,1
DB02315,DB00627,1
DB00357,DB01068,1
DB00470,DB00472,1
DB00437,DB00995,1
DB03193,DB00896,1
DB00143,DB03222,1
DB01234,DB00574,1
DB01156,DB00411,1
DB00822,DB00571,1
DB01220,DB01055,1
DB02325,DB00987,1
DB01452,DB00312,1
DB00542,DB00220,1
DB01852,DB01576,1
DB00388,DB04725,1
DB01696,DB00136,1
DB00178,DB03760,1
DB04173,DB01001,1
DB00435,DB02207,1
DB00753,DB02266,1
DB00641,DB00870,1
DB00400,DB01224,1
DB00829,DB01852,1
DB00382,DB01093,1
DB01001,DB00589,1
DB00207,DB00468,1
DB01064,DB00800,1
DB00860,DB00275,1
DB00318,DB00472,1
DB01057,DB00118,1
DB00624,DB01997,1
DB00175,DB01452,1
DB00254,DB01919,1
DB00126,DB00627,1
DB01173,DB02679,1
DB02300,DB00215,1
DB00977,DB01156,1
DB03419,DB00957,1
DB00573,DB00995,1
DB00594,DB00772,1
DB00570,DB00613,1
DB00403,DB03796,1
DB00276,DB00264,1
DB00712,DB01483,1
DB04557,DB00648,1
DB02533,DB00364,1
DB02116,DB00571,1
DB00136,DB04827,1
DB00197,DB00884,1
DB01128,DB00594,1
DB01609,DB01103,1
DB00820,DB00466,1
DB00580,DB00749,1
DB04831,DB01392,1
DB01149,DB00342,1
DB00220,DB00795,1
DB00661,DB02546,1
DB02300,DB00675,1
DB00848,DB01029,1
DB00273,DB01338,1
DB00700,DB00727,1
DB03902,DB03575,1
DB00763,DB00619,1
DB00988,DB00687,1
DB00740,DB00570,1
DB00592,DB00709,1
DB01118,DB00401,1
DB00119,DB00367,1
DB00590,DB00284,1
DB00927,DB00789,1
DB00655,DB00977,1
DB00783,DB00399,1
DB00382,DB00425,1
DB00853,DB00908,1
DB02757,DB01030,1
DB01204,DB00325,1
DB00836,DB00866,1
DB01609,DB00570,1
DB03345,DB00997,1
DB00563,DB01597,1
DB00851,DB03760,1
DB01927,DB00932,1
DB01348,DB01242,1
DB01205,DB00908,1
DB00963,DB02261,1
DB01092,DB00783,1
DB00277,DB00151,1
DB00981,DB00999,1
DB00851,DB01033,1
DB01645,DB01017,1
DB00499,DB02679,1
DB00851,DB00675,1
DB00949,DB01077,1
DB00348,DB00014,1
DB00495,DB00289,1
DB04786,DB00592,1
DB00320,DB00932,1
DB01045,DB00208,1
DB00472,DB00984,1
DB00608,DB00515,1
DB01032,DB00694,1
DB01132,DB00553,1
DB00975,DB01370,1
DB00531,DB00916,1
DB00255,DB01698,1
DB00864,DB00328,1
DB01220,DB00642,1
DB00290,DB00814,1
DB00381,DB00322,1
DB02095,DB00136,1
DB00572,DB01149,1
DB00218,DB00501,1
DB00722,DB00802,1
DB00404,DB01015,1
DB00947,DB00763,1
DB01351,DB00550,1
DB01120,DB00860,1
DB04173,DB00400,1
DB00626,DB00903,1
DB00843,DB00336,1
DB00590,DB01452,1
DB01054,DB00417,1
DB00821,DB00973,1
DB01033,DB00698,1
DB00544,DB01097,1
DB04224,DB00312,1
DB01216,DB00440,1
DB04258,DB00590,1
DB00718,DB00530,1
DB04540,DB00530,1
DB00784,DB00949,1
DB01370,DB01424,1
DB00564,DB04272,1
DB00987,DB00321,1
DB01645,DB00379,1
DB00695,DB00987,1
DB00936,DB00136,1
DB00675,DB00860,1
DB00584,DB00378,1
DB02262,DB00388,1
